"Title:","All Employees from the Current Employment Statistics Database"
"SubTitle:","USA - Seasonally Adjusted: Non-Seasonally Adjusted"
"Time:","01/1939 - 10/2022"
"Unit of Measure:","#","#","#","#","#","#","#","#","#"
"Citation:","Bureau of Labor Statistics (2022-11-10). Current Employment Statistics: All Employees | Construction | Information | N/A Construction | 236 Construction of buildings | 237 Heavy and civil engineering construction | 2373 Highway, street, and bridge construction | 511 Publishing industries, except Internet | 5112 Software publishers | 512 Motion picture and sound recording industries | 515 Broadcasting, except Internet | 518 Data processing, hosting and related services | Non-Seasonally Adjusted, 01/1939 - 10/2022. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  002-021-001 doi:https://doi.org/10.6068/DP184A0C1638753"
"ColumnCount:",10
"RowCount:",1006

"Time","Construction, N/A Construction, Non-Seasonally Adjusted, (000)","Construction, 236 Construction of buildings, Non-Seasonally Adjusted, (000)","Construction, 237 Heavy and civil engineering construction, Non-Seasonally Adjusted, (000)","Construction, 2373 Highway, street, and bridge construction, Non-Seasonally Adjusted, (000)","Information, 511 Publishing industries, except Internet, Non-Seasonally Adjusted, (000)","Information, 5112 Software publishers, Non-Seasonally Adjusted, (000)","Information, 512 Motion picture and sound recording industries, Non-Seasonally Adjusted, (000)","Information, 515 Broadcasting, except Internet, Non-Seasonally Adjusted, (000)","Information, 518 Data processing, hosting and related services, Non-Seasonally Adjusted, (000)"
"09/1966",3604000,,,,,,,,
"10/1966",3526000,,,,,,,,
"11/1966",3384000,,,,,,,,
"12/1966",3202000,,,,,,,,
"01/1967",3001000,,,,,,,,
"02/1967",2917000,,,,,,,,
"03/1967",2971000,,,,,,,,
"04/1967",3151000,,,,,,,,
"05/1967",3268000,,,,,,,,
"06/1967",3444000,,,,,,,,
"07/1967",3582000,,,,,,,,
"08/1967",3626000,,,,,,,,
"09/1967",3548000,,,,,,,,
"10/1967",3497000,,,,,,,,
"11/1967",3415000,,,,,,,,
"12/1967",3245000,,,,,,,,
"01/1968",2886000,,,,,,,,
"02/1968",3010000,,,,,,,,
"03/1968",3083000,,,,,,,,
"04/1968",3280000,,,,,,,,
"05/1968",3387000,,,,,,,,
"06/1968",3531000,,,,,,,,
"07/1968",3650000,,,,,,,,
"08/1968",3718000,,,,,,,,
"09/1968",3688000,,,,,,,,
"10/1968",3681000,,,,,,,,
"11/1968",3566000,,,,,,,,
"12/1968",3441000,,,,,,,,
"01/1969",3206000,,,,,,,,
"02/1969",3188000,,,,,,,,
"03/1969",3281000,,,,,,,,
"04/1969",3470000,,,,,,,,
"05/1969",3625000,,,,,,,,
"06/1969",3829000,,,,,,,,
"07/1969",3917000,,,,,,,,
"08/1969",3945000,,,,,,,,
"09/1969",3905000,,,,,,,,
"10/1969",3872000,,,,,,,,
"11/1969",3781000,,,,,,,,
"12/1969",3630000,,,,,,,,
"01/1970",3279000,,,,,,,,
"02/1970",3306000,,,,,,,,
"03/1970",3402000,,,,,,,,
"04/1970",3549000,,,,,,,,
"05/1970",3621000,,,,,,,,
"06/1970",3803000,,,,,,,,
"07/1970",3888000,,,,,,,,
"08/1970",3940000,,,,,,,,
"09/1970",3847000,,,,,,,,
"10/1970",3836000,,,,,,,,
"11/1970",3758000,,,,,,,,
"12/1970",3613000,,,,,,,,
"01/1971",3296000,,,,,,,,
"02/1971",3228000,,,,,,,,
"03/1971",3377000,,,,,,,,
"04/1971",3607000,,,,,,,,
"05/1971",3741000,,,,,,,,
"06/1971",3931000,,,,,,,,
"07/1971",4024000,,,,,,,,
"08/1971",4077000,,,,,,,,
"09/1971",4054000,,,,,,,,
"10/1971",4084000,,,,,,,,
"11/1971",4028000,,,,,,,,
"12/1971",3790000,,,,,,,,
"01/1972",3554000,,,,,,,,
"02/1972",3482000,,,,,,,,
"03/1972",3622000,,,,,,,,
"04/1972",3792000,,,,,,,,
"05/1972",3951000,,,,,,,,
"06/1972",4144000,,,,,,,,
"07/1972",4171000,,,,,,,,
"08/1972",4278000,,,,,,,,
"09/1972",4242000,,,,,,,,
"10/1972",4260000,,,,,,,,
"11/1972",4129000,,,,,,,,
"12/1972",3864000,,,,,,,,
"01/1973",3636000,,,,,,,,
"02/1973",3673000,,,,,,,,
"03/1973",3790000,,,,,,,,
"04/1973",3953000,,,,,,,,
"05/1973",4133000,,,,,,,,
"06/1973",4364000,,,,,,,,
"07/1973",4463000,,,,,,,,
"08/1973",4527000,,,,,,,,
"09/1973",4484000,,,,,,,,
"10/1973",4457000,,,,,,,,
"11/1973",4356000,,,,,,,,
"12/1973",4173000,,,,,,,,
"01/1974",3828000,,,,,,,,
"02/1974",3868000,,,,,,,,
"03/1974",3953000,,,,,,,,
"04/1974",4068000,,,,,,,,
"05/1974",4196000,,,,,,,,
"06/1974",4308000,,,,,,,,
"07/1974",4273000,,,,,,,,
"08/1974",4353000,,,,,,,,
"09/1974",4260000,,,,,,,,
"10/1974",4200000,,,,,,,,
"11/1974",4035000,,,,,,,,
"12/1974",3800000,,,,,,,,
"01/1975",3474000,,,,,,,,
"02/1975",3322000,,,,,,,,
"03/1975",3319000,,,,,,,,
"04/1975",3412000,,,,,,,,
"05/1975",3553000,,,,,,,,
"06/1975",3684000,,,,,,,,
"07/1975",3734000,,,,,,,,
"08/1975",3842000,,,,,,,,
"09/1975",3827000,,,,,,,,
"10/1975",3815000,,,,,,,,
"11/1975",3731000,,,,,,,,
"12/1975",3581000,,,,,,,,
"01/1976",3320000,,,,,,,,
"02/1976",3273000,,,,,,,,
"03/1976",3363000,,,,,,,,
"04/1976",3539000,,,,,,,,
"05/1976",3655000,,,,,,,,
"06/1976",3796000,,,,,,,,
"07/1976",3869000,,,,,,,,
"08/1976",3931000,,,,,,,,
"09/1976",3888000,,,,,,,,
"10/1976",3873000,,,,,,,,
"11/1976",3810000,,,,,,,,
"12/1976",3626000,,,,,,,,
"01/1977",3283000,,,,,,,,
"02/1977",3339000,,,,,,,,
"03/1977",3521000,,,,,,,,
"04/1977",3763000,,,,,,,,
"05/1977",3944000,,,,,,,,
"06/1977",4140000,,,,,,,,
"07/1977",4240000,,,,,,,,
"08/1977",4299000,,,,,,,,
"09/1977",4275000,,,,,,,,
"10/1977",4262000,,,,,,,,
"11/1977",4191000,,,,,,,,
"12/1977",4027000,,,,,,,,
"01/1978",3646000,,,,,,,,
"02/1978",3610000,,,,,,,,
"03/1978",3825000,,,,,,,,
"04/1978",4162000,,,,,,,,
"05/1978",4323000,,,,,,,,
"06/1978",4566000,,,,,,,,
"07/1978",4672000,,,,,,,,
"08/1978",4725000,,,,,,,,
"09/1978",4671000,,,,,,,,
"10/1978",4678000,,,,,,,,
"11/1978",4590000,,,,,,,,
"12/1978",4399000,,,,,,,,
"01/1979",3988000,,,,,,,,
"02/1979",3936000,,,,,,,,
"03/1979",4193000,,,,,,,,
"04/1979",4361000,,,,,,,,
"05/1979",4588000,,,,,,,,
"06/1979",4790000,,,,,,,,
"07/1979",4890000,,,,,,,,
"08/1979",4935000,,,,,,,,
"09/1979",4869000,,,,,,,,
"10/1979",4853000,,,,,,,,
"11/1979",4755000,,,,,,,,
"12/1979",4590000,,,,,,,,
"01/1980",4246000,,,,,,,,
"02/1980",4156000,,,,,,,,
"03/1980",4194000,,,,,,,,
"04/1980",4311000,,,,,,,,
"05/1980",4455000,,,,,,,,
"06/1980",4572000,,,,,,,,
"07/1980",4613000,,,,,,,,
