"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Type: All Types - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | All Makes | Audi | BMW | Chevrolet | Ford | Honda | Toyota | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD351B043"
"ColumnCount:",8
"RowCount:",552

"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, Audi, All Models, All Vehicle Years, #","All Types, BMW, All Models, All Vehicle Years, #","All Types, Chevrolet, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Honda, All Models, All Vehicle Years, #","All Types, Toyota, All Models, All Vehicle Years, #"
"10/2003",5482,5,32,891,1062,309,280
"11/2003",5279,6,28,830,983,305,297
"12/2003",4891,6,24,809,957,219,311
"01/2004",4505,9,16,722,841,229,260
"02/2004",4055,4,24,644,781,218,221
"03/2004",4449,3,19,752,812,249,254
"04/2004",4683,5,25,710,866,274,238
"05/2004",5152,4,25,819,894,312,273
"06/2004",5145,7,22,793,957,323,273
"07/2004",5294,4,32,819,887,373,266
"08/2004",5419,7,30,787,974,376,293
"09/2004",4910,6,23,784,836,304,268
"10/2004",5231,10,23,826,921,327,323
"11/2004",4849,5,24,799,903,261,289
"12/2004",5037,7,11,827,943,274,287
"01/2005",4298,5,16,711,784,231,244
"02/2005",4011,4,22,651,757,223,212
"03/2005",4411,10,21,680,769,249,249
"04/2005",4914,7,28,758,824,312,253
"05/2005",5019,5,40,752,911,332,275
"06/2005",5186,3,23,819,871,340,323
"07/2005",5683,9,31,885,959,363,303
"08/2005",5282,8,31,789,911,350,285
"09/2005",5081,3,39,706,914,344,270
"10/2005",5504,10,28,888,995,329,296
"11/2005",5212,5,38,839,935,313,296
"12/2005",4894,8,27,787,950,258,296
"01/2006",4411,5,32,703,788,238,265
"02/2006",4047,5,17,672,701,221,264
"03/2006",4612,6,32,730,793,277,258
"04/2006",4658,7,22,693,763,328,261
"05/2006",5117,8,43,716,851,359,282
"06/2006",5120,8,21,747,835,332,292
"07/2006",5236,9,35,790,866,358,309
"08/2006",5153,7,19,724,854,350,283
"09/2006",4956,6,26,727,810,360,264
"10/2006",5235,6,38,803,931,321,325
"11/2006",4793,11,30,756,857,264,309
"12/2006",4756,8,33,752,851,259,301
"01/2007",4060,6,29,663,715,244,278
"02/2007",3968,6,24,639,688,208,233
"03/2007",4746,9,24,724,819,301,266
"04/2007",4614,8,34,619,824,326,295
"05/2007",4899,7,27,722,793,339,241
"06/2007",4961,8,30,729,794,339,289
"07/2007",5123,7,27,730,844,340,287
"08/2007",5029,6,32,709,837,354,304
"09/2007",4753,10,34,712,770,312,245
"10/2007",4961,4,33,749,770,328,309
"11/2007",4640,7,35,706,802,265,329
"12/2007",4499,8,25,760,811,269,275
"01/2008",3916,5,26,622,684,201,256
"02/2008",3929,5,23,597,655,213,279
"03/2008",3834,11,25,616,679,218,240
"04/2008",4021,2,32,559,675,300,241
"05/2008",4329,7,26,607,691,312,270
"06/2008",4487,8,28,655,693,370,262
"07/2008",4422,6,21,621,640,332,229
"08/2008",4663,9,33,624,727,343,279
"09/2008",4185,5,40,564,605,280,256
"10/2008",4512,8,31,641,694,295,287
"11/2008",4151,8,34,680,715,237,263
"12/2008",4211,3,32,701,736,240,267
"01/2009",3565,5,33,577,639,204,270
"02/2009",3171,5,23,496,546,201,197
"03/2009",3459,5,26,569,554,213,244
"04/2009",3930,8,35,577,607,229,278
"05/2009",4100,8,34,607,651,326,238
"06/2009",4013,9,25,590,627,302,265
"07/2009",4083,7,27,589,655,294,263
"08/2009",4196,7,28,612,630,313,242
"09/2009",3869,3,31,556,610,256,245
"10/2009",3857,8,20,618,665,255,252
"11/2009",3720,9,21,562,625,243,272
"12/2009",3577,8,27,562,622,185,263
"01/2010",3107,5,26,451,544,177,218
"02/2010",2801,8,22,454,450,188,203
"03/2010",3336,5,19,491,532,223,210
"04/2010",3804,5,42,518,601,273,274
"05/2010",3956,7,27,572,559,298,265
"06/2010",3821,3,20,574,613,285,237
"07/2010",4200,5,45,610,616,317,264
"08/2010",4183,6,32,593,621,270,271
"09/2010",4094,10,29,556,673,263,257
"10/2010",4136,4,35,626,624,288,260
"11/2010",3854,4,25,566,652,233,274
"12/2010",3570,9,21,567,617,218,253
"01/2011",3076,6,27,474,517,213,222
"02/2011",2868,3,22,441,467,175,215
"03/2011",3311,5,28,507,527,197,253
"04/2011",3508,2,28,523,547,243,228
"05/2011",3744,10,32,531,567,254,237
"06/2011",3937,7,18,554,569,300,236
"07/2011",4232,11,26,571,636,358,272
"08/2011",4109,7,25,604,580,306,262
"09/2011",3824,5,32,505,607,262,244
"10/2011",4194,6,31,587,632,278,280
"11/2011",3692,11,38,535,568,218,305
"12/2011",3624,8,20,545,589,222,286
"01/2012",3330,4,31,526,555,188,255
"02/2012",3189,7,23,480,529,206,230
"03/2012",3678,17,24,530,516,265,247
"04/2012",3548,3,26,498,524,268,214
"05/2012",3966,6,36,579,607,309,242
"06/2012",4131,12,45,576,570,316,258
"07/2012",4164,12,24,594,656,307,265
"08/2012",4258,9,31,575,617,309,296
"09/2012",4074,5,36,572,586,259,285
"10/2012",3997,11,30,590,598,260,291
"11/2012",3853,12,23,588,608,230,275
"12/2012",3772,9,32,606,606,243,302
"01/2013",3416,5,25,522,523,217,267
"02/2013",2845,6,23,428,453,183,221
"03/2013",3552,9,41,487,545,223,279
"04/2013",3464,15,30,453,528,258,273
"05/2013",3817,8,35,528,547,298,274
"06/2013",4009,12,34,519,596,297,285
"07/2013",3933,17,42,573,524,291,241
"08/2013",4304,18,34,558,583,347,305
"09/2013",4106,13,39,533,588,316,286
"10/2013",4135,7,33,617,609,269,285
"11/2013",3803,6,29,571,590,253,260
"12/2013",3717,10,32,593,550,197,330
"01/2014",3260,10,26,459,528,183,269
"02/2014",2802,8,21,432,451,184,236
"03/2014",3374,13,33,463,508,241,264
"04/2014",3478,6,31,478,513,265,247
"05/2014",3891,13,35,533,494,263,261
"06/2014",3887,6,40,532,541,300,276
"07/2014",4011,16,30,560,550,309,282
"08/2014",4175,13,49,599,596,323,262
"09/2014",3897,11,36,537,523,294,301
"10/2014",4242,10,46,551,637,290,344
"11/2014",4044,11,40,583,620,282,292
"12/2014",3889,13,40,575,624,275,338
"01/2015",3584,10,38,559,560,243,291
"02/2015",3057,6,25,431,481,205,249
"03/2015",3721,6,36,580,568,247,257
"04/2015",3741,10,40,512,526,265,264
"05/2015",4333,17,33,610,619,320,299
"06/2015",4260,7,44,563,591,321,327
"07/2015",4628,6,39,641,598,350,346
"08/2015",4630,13,41,624,639,349,342
"09/2015",4380,9,41,566,651,317,290
"10/2015",4610,11,51,620,644,331,375
"11/2015",4212,16,46,581,634,267,378
"12/2015",4322,10,51,664,639,304,357
"01/2016",3483,20,33,501,516,231,285
"02/2016",3668,10,39,524,532,271,294
"03/2016",4065,6,33,569,557,318,345
"04/2016",4172,22,41,564,591,309,321
"05/2016",4580,15,44,633,606,345,340
"06/2016",4721,15,47,637,652,379,358
"07/2016",4583,10,55,627,614,331,340
"08/2016",4794,9,44,661,656,364,368
"09/2016",4758,16,44,613,648,327,366
"10/2016",4933,15,49,651,696,339,407
"11/2016",4570,17,40,608,668,367,365
"12/2016",4387,14,53,621,656,313,391
"01/2017",3988,20,36,580,564,264,355
"02/2017",3487,12,35,543,454,251,276
"03/2017",4183,10,45,566,611,281,324
"04/2017",4257,10,45,554,582,298,349
"05/2017",4523,14,44,622,590,357,373
